"b_Intercept","alpha"
149.794779855518,149.248782747873
149.302393486338,149.248033729229
148.769631677153,149.247668056434
148.403727354645,149.247490416458
149.093677133894,149.246710911178
149.303745878406,149.246082582949
149.465873447522,149.242637375503
148.890195199483,149.241824057731
148.951593430983,149.243609994494
148.709591831506,149.243112042242
148.452765368578,149.242735943347
148.48235173285,149.244415179008
147.639706902449,149.244513739761
147.591732413189,149.247087068161
147.426753472181,149.246261570385
147.111545992791,149.245713399951
146.278759000285,149.24542758342
146.512905847076,149.245904236416
147.900748481832,149.246473402572
147.360476577583,149.246473402572
147.605400740537,149.245920801276
147.845282515006,149.245381967447
147.745603314273,149.244406961979
148.089465406843,149.2448251083
148.163905648624,149.243405339882
148.328979000707,149.24332210208
148.528519283572,149.243482778927
149.016371173439,149.243019179386
148.647931252177,149.242740896361
148.46414734985,149.241527931737
148.91805326683,149.241030598668
148.461742887365,149.240793901556
148.979315663248,149.241352746822
148.20961122743,149.240502572575
148.668989364966,149.240502572575
147.637485697411,149.240502572575
147.944206320752,149.240502572575
151.701411918635,149.238937283324
151.891402605003,149.236393519162
151.593353571758,149.238880572013
151.574303599297,149.239182038978
151.329242976168,149.239599469153
151.70006459189,149.23836028502
151.804993390739,149.23836028502
152.928166232772,149.23836028502
153.240179004034,149.23836028502
154.117678800783,149.237873414594
155.550980885699,149.239154365347
155.084551827238,149.236700167501
155.117356610194,149.237714676171
153.753410488544,149.238133552064
154.003954129029,149.239721200182
154.328492194963,149.245283887953
153.326250792284,149.243775242594
154.280650408942,149.244968810573
152.853289233533,149.239634030689
152.597157423001,149.239788615344
152.977799873563,149.238703963706
153.531753499098,149.234587766228
153.541170949295,149.235395943669
152.839226883546,149.23601413883
152.845735748444,149.236929966242
152.963420758946,149.236929966242
152.742395076898,149.234652365863
152.484833827678,149.234761112841
152.35901503799,149.23447790996
151.062994351875,149.23402536075
148.316116054105,149.237678278688
148.398335598101,149.237632034417
147.531375426551,149.237668837176
147.432850549497,149.238143370838
147.490139067134,149.241843353974
146.897132685138,149.241874459487
147.378039536851,149.242308360165
145.079753113787,149.242490063287
144.343690484239,149.242497070092
145.496979977854,149.253030772905
144.989998647507,149.253633312391
144.469213642816,149.25364976601
144.917270540383,149.252259517632
144.573396294415,149.25434146576
144.13569157801,149.251144989707
144.838760327309,149.253881591403
155.886125376454,149.254038346553
155.892695991782,149.24802220265
156.723398753023,149.248381346649
155.254309952049,149.247371967679
156.427169238687,149.249069238207
156.294190396834,149.251288677102
156.950467652579,149.249532456946
148.885506946029,149.246977004929
148.652425536031,149.245476787336
148.49910662409,149.246085557419
147.954667085655,149.246708684613
147.865291981354,149.247579975118
147.202300391693,149.248500078614
147.397716556127,149.24776864156
146.4859625117,149.247464589233
147.044059673544,149.247539440605
149.252495527334,149.248597056193
148.70540210874,149.249668402343
150.225960130672,149.251871998621
149.167876875111,149.254999954597
152.275982445402,149.254550977501
151.965343205157,149.253374234343
151.819225652686,149.248644814823
151.964852906468,149.249752778215
151.14538483208,149.253513006554
151.822275455002,149.253723761799
152.02866617005,149.241655088757
151.608987517408,149.243840225585
150.013138848494,149.247244084765
149.914715151963,149.248241959827
149.793133041042,149.250669262938
151.605982614808,149.252223896562
152.871669901018,149.252794196625
152.114537497783,149.250903529507
152.209378693919,149.248885402382
152.261810008482,149.248028031859
151.978219760125,149.247768252912
151.533986107188,149.256224635605
151.903062940541,149.256210233184
151.094139021188,149.256030824796
151.250910869599,149.255416837325
151.955713280007,149.25475937537
148.654124269957,149.255099065379
146.378171900184,149.25434622908
154.211243090183,149.255418919847
154.798845976947,149.255601135836
154.909998950114,149.25561230643
155.116504624381,149.255709258655
154.618039629299,149.254734372768
154.918917339327,149.253359384406
155.172015689687,149.251908881677
154.869076731574,149.251918142884
155.534048270194,149.250819185416
156.733634492841,149.251013043373
155.945995677498,149.250589564505
154.61514987655,149.25475913298
157.702710212203,149.254352269779
157.526884176525,149.255091227953
157.365416945908,149.255189214509
158.017986785939,149.255261658646
157.959178057276,149.255751096266
158.676544366975,149.256154407011
176.547960223739,149.25606906287
176.847166650976,149.256102523787
175.998732217784,149.256102523787
151.102923361445,149.255989949463
150.446343730823,149.255982065998
149.324446804268,149.256639352624
148.792686926036,149.256719504083
154.176176117487,149.256637673067
154.382252300432,149.25698175557
